provider_name,category,subcategory,offer_name,description,price_eur,price_usdc_mock,currency,city,district,address_hint,country_code,website,source,gift_ready,delivery_type,duration_or_validity,tags,status
Berlin Food Stories Voucher,restaurant,multi-merchant voucher,Foodie Gift Voucher,"Voucher redeemable across 40+ favourite Berlin restaurants, useful as a flexible restaurant gift card in the MVP seed catalog.",100.0,109,EUR,Berlin,Berlin,Multiple partner venues,DE,https://www.bfsvoucher.com,Berlin Food Stories voucher site,yes,email_qr,voucher validity varies,"restaurant,foodie,multi merchant,gift card",seed_live
Babylon,cinema,ticket,Silent Film Midnight Ticket,Giftable cinema admission concept based on Babylon’s recurring silent film programming in a historic 1920s venue.,12.0,14,EUR,Berlin,Mitte,Rosa-Luxemburg-Platz area,DE,https://www.visitberlin.de/en/babylon,visitBerlin Babylon page,yes,email_qr,single screening,"cinema,silent film,historic venue,mitte",seed_live
Babylon,cinema,ticket,Classic Cinema Night for Two,Gift bundle concept for two tickets inspired by Babylon’s classics and special screenings.,24.0,27,EUR,Berlin,Mitte,Rosa-Luxemburg-Platz area,DE,https://www.visitberlin.de/en/babylon,visitBerlin Babylon page,yes,email_qr,single evening,"cinema,date night,classic films,couples",seed_live
Sanft & Schön,beauty,facial,Classic Facial Treatment,"Professional facial treatment in Berlin Mitte, framed as a glow-up gift and self-care service.",54.0,59,EUR,Berlin,Mitte,Near Naturkundemuseum U-Bahn,DE,https://xn--sanft-schn-mcb.de/en/facial-treatment/,Sanft & Schön treatment page,yes,email_qr,45-60 min,"beauty,facial,self care,mitte",seed_live
Sanft & Schön,beauty,voucher,Facial Gift Voucher,Gift voucher for facial treatments including Aquafacial and Microneedling options.,80.0,87,EUR,Berlin,Mitte,Near Naturkundemuseum U-Bahn,DE,https://xn--sanft-schn-mcb.de/en/facial-treatment/voucher/,Sanft & Schön voucher page,yes,email_qr,voucher,"beauty,voucher,facial,gift ready",seed_live
Vabali Spa Berlin,spa,wellness,Day Spa Entry,"All-day spa access with sauna, pool and quiet lounge areas. Designed as a simple redeemable wellness gift.",41,45,EUR,Berlin,Moabit,Seydlitzstraße 6,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,day pass,"spa,wellness,day pass",seed_live
Vabali Spa Berlin,spa,wellness,Couples Spa Session,Couples-oriented spa access package with longer validity and premium positioning for gifting.,79,86,EUR,Berlin,Moabit,Seydlitzstraße 6,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,2-3 hours,"spa,couples,wellness,romantic",seed_live
Vabali Spa Berlin,spa,wellness,Massage & Thermal Package,"Bundled access with a short massage and thermal area entry, optimized for premium gifting.",95,104,EUR,Berlin,Moabit,Seydlitzstraße 6,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,90-120 min,"spa,massage,premium,relaxation",seed_live
Waldorf Astoria Spa Berlin,spa,wellness,Day Spa Entry,"All-day spa access with sauna, pool and quiet lounge areas. Designed as a simple redeemable wellness gift.",41,45,EUR,Berlin,City West,Hardenbergstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,day pass,"spa,wellness,day pass",seed_live
Waldorf Astoria Spa Berlin,spa,wellness,Couples Spa Session,Couples-oriented spa access package with longer validity and premium positioning for gifting.,79,86,EUR,Berlin,City West,Hardenbergstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,2-3 hours,"spa,couples,wellness,romantic",seed_live
Waldorf Astoria Spa Berlin,spa,wellness,Massage & Thermal Package,"Bundled access with a short massage and thermal area entry, optimized for premium gifting.",95,104,EUR,Berlin,City West,Hardenbergstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,90-120 min,"spa,massage,premium,relaxation",seed_live
Adlon Spa by Resense,spa,wellness,Day Spa Entry,"All-day spa access with sauna, pool and quiet lounge areas. Designed as a simple redeemable wellness gift.",41,45,EUR,Berlin,Mitte,Unter den Linden area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,day pass,"spa,wellness,day pass",seed_live
Adlon Spa by Resense,spa,wellness,Couples Spa Session,Couples-oriented spa access package with longer validity and premium positioning for gifting.,79,86,EUR,Berlin,Mitte,Unter den Linden area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,2-3 hours,"spa,couples,wellness,romantic",seed_live
Adlon Spa by Resense,spa,wellness,Massage & Thermal Package,"Bundled access with a short massage and thermal area entry, optimized for premium gifting.",95,104,EUR,Berlin,Mitte,Unter den Linden area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,90-120 min,"spa,massage,premium,relaxation",seed_live
ONO Spa Berlin,spa,wellness,Day Spa Entry,"All-day spa access with sauna, pool and quiet lounge areas. Designed as a simple redeemable wellness gift.",41,45,EUR,Berlin,Charlottenburg,Kurfürstendamm area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,day pass,"spa,wellness,day pass",seed_live
ONO Spa Berlin,spa,wellness,Couples Spa Session,Couples-oriented spa access package with longer validity and premium positioning for gifting.,79,86,EUR,Berlin,Charlottenburg,Kurfürstendamm area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,2-3 hours,"spa,couples,wellness,romantic",seed_live
ONO Spa Berlin,spa,wellness,Massage & Thermal Package,"Bundled access with a short massage and thermal area entry, optimized for premium gifting.",95,104,EUR,Berlin,Charlottenburg,Kurfürstendamm area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,90-120 min,"spa,massage,premium,relaxation",seed_live
Kiez Sauna & Massage,spa,wellness,Day Spa Entry,"All-day spa access with sauna, pool and quiet lounge areas. Designed as a simple redeemable wellness gift.",41,45,EUR,Berlin,Prenzlauer Berg,Kollwitzkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,day pass,"spa,wellness,day pass",seed_live
Kiez Sauna & Massage,spa,wellness,Couples Spa Session,Couples-oriented spa access package with longer validity and premium positioning for gifting.,79,86,EUR,Berlin,Prenzlauer Berg,Kollwitzkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,2-3 hours,"spa,couples,wellness,romantic",seed_live
Kiez Sauna & Massage,spa,wellness,Massage & Thermal Package,"Bundled access with a short massage and thermal area entry, optimized for premium gifting.",95,104,EUR,Berlin,Prenzlauer Berg,Kollwitzkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on real category demand,yes,email_qr,90-120 min,"spa,massage,premium,relaxation",seed_live
Käfer Restaurant Reichstag,restaurant,voucher,Lunch Voucher,"Flexible lunch voucher for one of Berlin’s notable dining venues, positioned for simple agent purchase.",35,38,EUR,Berlin,Mitte,Platz der Republik area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,voucher,"restaurant,lunch,voucher",seed_live
Käfer Restaurant Reichstag,restaurant,voucher,Dinner for Two,"Gift package calibrated for a date-night meal for two people, excluding or lightly including drinks.",89,97,EUR,Berlin,Mitte,Platz der Republik area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,dinner,couples,date night",seed_live
Käfer Restaurant Reichstag,restaurant,voucher,Tasting Menu Experience,Premium culinary experience product for gifting at higher-end Berlin venues.,145,158,EUR,Berlin,Mitte,Platz der Republik area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,tasting menu,premium,culinary",seed_live
SPHERE by Tim Raue,restaurant,voucher,Lunch Voucher,"Flexible lunch voucher for one of Berlin’s notable dining venues, positioned for simple agent purchase.",35,38,EUR,Berlin,Mitte,Alexanderplatz / TV Tower,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,voucher,"restaurant,lunch,voucher",seed_live
SPHERE by Tim Raue,restaurant,voucher,Dinner for Two,"Gift package calibrated for a date-night meal for two people, excluding or lightly including drinks.",89,97,EUR,Berlin,Mitte,Alexanderplatz / TV Tower,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,dinner,couples,date night",seed_live
SPHERE by Tim Raue,restaurant,voucher,Tasting Menu Experience,Premium culinary experience product for gifting at higher-end Berlin venues.,145,158,EUR,Berlin,Mitte,Alexanderplatz / TV Tower,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,tasting menu,premium,culinary",seed_live
Nobelhart & Schmutzig,restaurant,voucher,Lunch Voucher,"Flexible lunch voucher for one of Berlin’s notable dining venues, positioned for simple agent purchase.",35,38,EUR,Berlin,Kreuzberg,Friedrichstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,voucher,"restaurant,lunch,voucher",seed_live
Nobelhart & Schmutzig,restaurant,voucher,Dinner for Two,"Gift package calibrated for a date-night meal for two people, excluding or lightly including drinks.",89,97,EUR,Berlin,Kreuzberg,Friedrichstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,dinner,couples,date night",seed_live
Nobelhart & Schmutzig,restaurant,voucher,Tasting Menu Experience,Premium culinary experience product for gifting at higher-end Berlin venues.,145,158,EUR,Berlin,Kreuzberg,Friedrichstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,tasting menu,premium,culinary",seed_live
Bonvivant Cocktail Bistro,restaurant,voucher,Lunch Voucher,"Flexible lunch voucher for one of Berlin’s notable dining venues, positioned for simple agent purchase.",35,38,EUR,Berlin,Schöneberg,Goltzstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,voucher,"restaurant,lunch,voucher",seed_live
Bonvivant Cocktail Bistro,restaurant,voucher,Dinner for Two,"Gift package calibrated for a date-night meal for two people, excluding or lightly including drinks.",89,97,EUR,Berlin,Schöneberg,Goltzstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,dinner,couples,date night",seed_live
Bonvivant Cocktail Bistro,restaurant,voucher,Tasting Menu Experience,Premium culinary experience product for gifting at higher-end Berlin venues.,145,158,EUR,Berlin,Schöneberg,Goltzstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,tasting menu,premium,culinary",seed_live
Kink Berlin,restaurant,voucher,Lunch Voucher,"Flexible lunch voucher for one of Berlin’s notable dining venues, positioned for simple agent purchase.",35,38,EUR,Berlin,Mitte,Heidestraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,voucher,"restaurant,lunch,voucher",seed_live
Kink Berlin,restaurant,voucher,Dinner for Two,"Gift package calibrated for a date-night meal for two people, excluding or lightly including drinks.",89,97,EUR,Berlin,Mitte,Heidestraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,dinner,couples,date night",seed_live
Kink Berlin,restaurant,voucher,Tasting Menu Experience,Premium culinary experience product for gifting at higher-end Berlin venues.,145,158,EUR,Berlin,Mitte,Heidestraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,tasting menu,premium,culinary",seed_live
Coda Dessert Dining,restaurant,voucher,Lunch Voucher,"Flexible lunch voucher for one of Berlin’s notable dining venues, positioned for simple agent purchase.",35,38,EUR,Berlin,Neukölln,Friedelstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,voucher,"restaurant,lunch,voucher",seed_live
Coda Dessert Dining,restaurant,voucher,Dinner for Two,"Gift package calibrated for a date-night meal for two people, excluding or lightly including drinks.",89,97,EUR,Berlin,Neukölln,Friedelstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,dinner,couples,date night",seed_live
Coda Dessert Dining,restaurant,voucher,Tasting Menu Experience,Premium culinary experience product for gifting at higher-end Berlin venues.,145,158,EUR,Berlin,Neukölln,Friedelstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,tasting menu,premium,culinary",seed_live
Lode & Stijn,restaurant,voucher,Lunch Voucher,"Flexible lunch voucher for one of Berlin’s notable dining venues, positioned for simple agent purchase.",35,38,EUR,Berlin,Kreuzberg,Lausitzer Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,voucher,"restaurant,lunch,voucher",seed_live
Lode & Stijn,restaurant,voucher,Dinner for Two,"Gift package calibrated for a date-night meal for two people, excluding or lightly including drinks.",89,97,EUR,Berlin,Kreuzberg,Lausitzer Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,dinner,couples,date night",seed_live
Lode & Stijn,restaurant,voucher,Tasting Menu Experience,Premium culinary experience product for gifting at higher-end Berlin venues.,145,158,EUR,Berlin,Kreuzberg,Lausitzer Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on restaurant gifting patterns,yes,email_qr,single evening,"restaurant,tasting menu,premium,culinary",seed_live
AESTHE Berlin Skin Studio,beauty,skin treatment,Express Facial,Entry-level facial treatment designed for gifting and easy booking.,49,54,EUR,Berlin,Prenzlauer Berg,Kastanienallee area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,45 min,"beauty,facial,entry level",seed_live
AESTHE Berlin Skin Studio,beauty,skin treatment,Signature Glow Facial,"Mid-tier skincare service with cleansing, exfoliation and hydration.",79,86,EUR,Berlin,Prenzlauer Berg,Kastanienallee area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60 min,"beauty,facial,glow,skincare",seed_live
AESTHE Berlin Skin Studio,beauty,skin treatment,Microneedling Voucher,Premium beauty voucher for advanced skin treatment.,129,141,EUR,Berlin,Prenzlauer Berg,Kastanienallee area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60-75 min,"beauty,microneedling,premium,voucher",seed_live
Glow Atelier Berlin,beauty,skin treatment,Express Facial,Entry-level facial treatment designed for gifting and easy booking.,49,54,EUR,Berlin,Mitte,Rosenthaler Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,45 min,"beauty,facial,entry level",seed_live
Glow Atelier Berlin,beauty,skin treatment,Signature Glow Facial,"Mid-tier skincare service with cleansing, exfoliation and hydration.",79,86,EUR,Berlin,Mitte,Rosenthaler Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60 min,"beauty,facial,glow,skincare",seed_live
Glow Atelier Berlin,beauty,skin treatment,Microneedling Voucher,Premium beauty voucher for advanced skin treatment.,129,141,EUR,Berlin,Mitte,Rosenthaler Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60-75 min,"beauty,microneedling,premium,voucher",seed_live
Maison de Beauté Charlottenburg,beauty,skin treatment,Express Facial,Entry-level facial treatment designed for gifting and easy booking.,49,54,EUR,Berlin,Charlottenburg,Savignyplatz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,45 min,"beauty,facial,entry level",seed_live
Maison de Beauté Charlottenburg,beauty,skin treatment,Signature Glow Facial,"Mid-tier skincare service with cleansing, exfoliation and hydration.",79,86,EUR,Berlin,Charlottenburg,Savignyplatz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60 min,"beauty,facial,glow,skincare",seed_live
Maison de Beauté Charlottenburg,beauty,skin treatment,Microneedling Voucher,Premium beauty voucher for advanced skin treatment.,129,141,EUR,Berlin,Charlottenburg,Savignyplatz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60-75 min,"beauty,microneedling,premium,voucher",seed_live
Brow & Glow Neukölln,beauty,skin treatment,Express Facial,Entry-level facial treatment designed for gifting and easy booking.,49,54,EUR,Berlin,Neukölln,Weserstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,45 min,"beauty,facial,entry level",seed_live
Brow & Glow Neukölln,beauty,skin treatment,Signature Glow Facial,"Mid-tier skincare service with cleansing, exfoliation and hydration.",79,86,EUR,Berlin,Neukölln,Weserstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60 min,"beauty,facial,glow,skincare",seed_live
Brow & Glow Neukölln,beauty,skin treatment,Microneedling Voucher,Premium beauty voucher for advanced skin treatment.,129,141,EUR,Berlin,Neukölln,Weserstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60-75 min,"beauty,microneedling,premium,voucher",seed_live
The Facial Room Berlin,beauty,skin treatment,Express Facial,Entry-level facial treatment designed for gifting and easy booking.,49,54,EUR,Berlin,Friedrichshain,Boxhagener Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,45 min,"beauty,facial,entry level",seed_live
The Facial Room Berlin,beauty,skin treatment,Signature Glow Facial,"Mid-tier skincare service with cleansing, exfoliation and hydration.",79,86,EUR,Berlin,Friedrichshain,Boxhagener Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60 min,"beauty,facial,glow,skincare",seed_live
The Facial Room Berlin,beauty,skin treatment,Microneedling Voucher,Premium beauty voucher for advanced skin treatment.,129,141,EUR,Berlin,Friedrichshain,Boxhagener Platz area,DE,mock://berlin_seed,Synthetic Berlin seed based on beauty gifting patterns,yes,email_qr,60-75 min,"beauty,microneedling,premium,voucher",seed_live
Clay Commons Berlin,ceramics,workshop,Intro Clay Workshop,"Beginner handbuilding workshop for mugs, bowls or small decorative objects.",55,60,EUR,Berlin,Wedding,Sprengelkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2 hours,"ceramics,beginner,handbuilding",seed_live
Clay Commons Berlin,ceramics,workshop,Wheel Throwing Session,Beginner-to-intermediate wheel session with one fired piece included.,89,97,EUR,Berlin,Wedding,Sprengelkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2.5 hours,"ceramics,wheel throwing,creative",seed_live
Clay Commons Berlin,ceramics,workshop,Weekend Pottery Course,Short multi-session ceramics course with glazing and finishing.,165,180,EUR,Berlin,Wedding,Sprengelkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,weekend course,"ceramics,course,weekend,premium",seed_live
Studio Ton Berlin,ceramics,workshop,Intro Clay Workshop,"Beginner handbuilding workshop for mugs, bowls or small decorative objects.",55,60,EUR,Berlin,Friedrichshain,Samariterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2 hours,"ceramics,beginner,handbuilding",seed_live
Studio Ton Berlin,ceramics,workshop,Wheel Throwing Session,Beginner-to-intermediate wheel session with one fired piece included.,89,97,EUR,Berlin,Friedrichshain,Samariterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2.5 hours,"ceramics,wheel throwing,creative",seed_live
Studio Ton Berlin,ceramics,workshop,Weekend Pottery Course,Short multi-session ceramics course with glazing and finishing.,165,180,EUR,Berlin,Friedrichshain,Samariterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,weekend course,"ceramics,course,weekend,premium",seed_live
Mud Club Kreuzberg,ceramics,workshop,Intro Clay Workshop,"Beginner handbuilding workshop for mugs, bowls or small decorative objects.",55,60,EUR,Berlin,Kreuzberg,Bergmannkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2 hours,"ceramics,beginner,handbuilding",seed_live
Mud Club Kreuzberg,ceramics,workshop,Wheel Throwing Session,Beginner-to-intermediate wheel session with one fired piece included.,89,97,EUR,Berlin,Kreuzberg,Bergmannkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2.5 hours,"ceramics,wheel throwing,creative",seed_live
Mud Club Kreuzberg,ceramics,workshop,Weekend Pottery Course,Short multi-session ceramics course with glazing and finishing.,165,180,EUR,Berlin,Kreuzberg,Bergmannkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,weekend course,"ceramics,course,weekend,premium",seed_live
Wheel House Berlin,ceramics,workshop,Intro Clay Workshop,"Beginner handbuilding workshop for mugs, bowls or small decorative objects.",55,60,EUR,Berlin,Prenzlauer Berg,Helmholtzkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2 hours,"ceramics,beginner,handbuilding",seed_live
Wheel House Berlin,ceramics,workshop,Wheel Throwing Session,Beginner-to-intermediate wheel session with one fired piece included.,89,97,EUR,Berlin,Prenzlauer Berg,Helmholtzkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2.5 hours,"ceramics,wheel throwing,creative",seed_live
Wheel House Berlin,ceramics,workshop,Weekend Pottery Course,Short multi-session ceramics course with glazing and finishing.,165,180,EUR,Berlin,Prenzlauer Berg,Helmholtzkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,weekend course,"ceramics,course,weekend,premium",seed_live
Keramik Kollektiv Neukölln,ceramics,workshop,Intro Clay Workshop,"Beginner handbuilding workshop for mugs, bowls or small decorative objects.",55,60,EUR,Berlin,Neukölln,Reuterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2 hours,"ceramics,beginner,handbuilding",seed_live
Keramik Kollektiv Neukölln,ceramics,workshop,Wheel Throwing Session,Beginner-to-intermediate wheel session with one fired piece included.,89,97,EUR,Berlin,Neukölln,Reuterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,2.5 hours,"ceramics,wheel throwing,creative",seed_live
Keramik Kollektiv Neukölln,ceramics,workshop,Weekend Pottery Course,Short multi-session ceramics course with glazing and finishing.,165,180,EUR,Berlin,Neukölln,Reuterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed based on Berlin pottery studio patterns,yes,email_qr,weekend course,"ceramics,course,weekend,premium",seed_live
Yorck Kinogruppe,cinema,ticket,Single Cinema Ticket,"Giftable ticket for one screening, simple low-price product for the marketplace.",11,12,EUR,Berlin,Multiple Districts,Various Berlin cinemas,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single screening,"cinema,ticket,entry level",seed_live
